name,l/100km,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
chevrolet nova 1975,15.7,6,4096.75,105.0,1568.974728,16.0,75,1
mercury monarch 1975,18.84,6,4096.75,72.0,1556.727744,21.0,75,1
ford maverick 1975,18.84,6,4096.75,72.0,1432.443536,19.5,75,1
pontiac catalina 1975,17.66,8,6554.8,170.0,2117.367456,11.5,75,1
chevrolet bel air 1975,18.84,8,5735.45,145.0,2013.94848,14.0,75,1
plymouth grand fury 1975,17.66,8,5211.07,150.0,2040.256816,14.5,75,1
ford ltd 1975,20.18,8,5751.84,148.0,2112.377944,13.5,75,1
buick century 1975,16.62,6,3785.4,110.0,1772.1839439999999,21.0,75,1
chevroelt chevelle malibu 1975,17.66,6,4096.75,105.0,1767.648024,18.5,75,1
amc matador 1975,18.84,6,4227.85,110.0,1691.89816,19.0,75,1
plymouth fury 1975,15.7,6,3687.08,95.0,1716.84572,19.0,75,1
buick skyhawk 1975,13.45,6,3785.4,110.0,1378.466088,15.0,75,1
chevrolet monza 2+2 1975,14.13,8,4293.39,110.0,1461.019832,13.5,75,1
ford mustang ii 1975,21.73,8,4948.87,129.0,1437.4330479999999,12.0,75,1
toyota corolla 1975,9.74,4,1589.54,75.0,984.748232,16.0,75,3
ford pinto 1975,12.28,4,2294.18,83.0,1197.029288,17.0,75,1
amc gremlin 1975,14.13,6,3801.78,100.0,1321.767088,16.0,75,1
pontiac astro 1975,12.28,4,2294.18,78.0,1175.710464,18.5,75,1
toyota corona 1975,11.77,4,2195.86,96.0,1225.605584,13.5,75,3
volkswagen dasher 1975,11.3,4,1474.83,71.0,1008.335016,16.5,75,2
datsun 710 1975,11.77,4,1950.05,97.0,1154.39164,17.0,75,3
ford pinto 1975 h,15.7,6,2802.18,97.0,1353.518528,14.5,75,1
volkswagen rabbit 1975,9.74,4,1474.83,70.0,878.607704,14.0,75,2
amc pacer 1975,14.87,6,3801.78,90.0,1456.483912,17.0,75,1
audi 100ls 1975,12.28,4,1884.5,95.0,1221.976848,15.0,75,2
peugeot 504 1975,12.28,4,1966.44,88.0,1341.271544,17.0,75,2
volvo 244dl 1975,12.84,4,1982.83,98.0,1335.82844,14.5,75,2
saab 99le 1975,11.3,4,1982.83,115.0,1211.544232,13.5,75,2
honda civic cvcc 1975,8.56,4,1491.22,53.0,814.19764,17.5,75,3
fiat 131 1976,10.09,4,1753.41,86.0,1117.650688,15.5,76,2
opel 1900 1976,11.3,4,1900.89,81.0,1006.97424,16.9,76,2
capri ii 1976,11.3,4,2294.18,92.0,1166.638624,14.9,76,1
dodge colt 1976,10.87,4,1605.93,79.0,1022.84996,17.7,76,1
renault 12tl 1976,10.46,4,1655.09,83.0,998.809584,15.3,76,2
chevrolet chevelle malibu classic 1976,16.14,8,4998.04,140.0,1911.89028,13.0,76,1
dodge coronet brougham 1976,17.66,8,5211.07,150.0,1900.5504799999999,13.0,76,1
amc matador 1976,18.23,8,4981.65,120.0,1797.131504,13.9,76,1
ford gran torino 1976,19.49,8,5751.84,152.0,1911.89028,12.8,76,1
plymouth valiant 1976,12.84,6,3687.08,100.0,1466.462936,15.4,76,1
chevrolet nova 1976,12.84,6,4096.75,105.0,1520.893976,14.5,76,1
ford maverick 1976,11.77,6,3277.4,81.0,1366.219104,17.6,76,1
amc hornet 1976,12.56,6,3801.78,90.0,1399.33132,17.6,76,1
chevrolet chevette 1976,9.74,4,1392.9,52.0,923.05972,22.2,76,1
chevrolet woody 1976,11.53,4,1605.93,60.0,981.573088,22.1,76,1
vw rabbit 1976,9.74,4,1474.83,70.0,878.607704,14.2,76,2
honda civic 1976,8.56,4,1491.22,53.0,814.19764,17.4,76,3
dodge aspen se 1976,14.13,6,3687.08,100.0,1656.064392,17.7,76,1
ford granada ghia 1976,15.7,6,4096.75,78.0,1621.137808,21.0,76,1
pontiac ventura sj 1976,15.27,6,4096.75,110.0,1653.34284,16.2,76,1
amc pacer d/l 1976,16.14,6,4227.85,95.0,1448.319256,17.8,76,1
volkswagen rabbit 1976,9.58,4,1589.54,71.0,827.8054,12.2,76,2
datsun b-210 1976,8.83,4,1392.9,70.0,902.6480799999999,17.0,76,3
toyota corolla 1976,10.09,4,1589.54,75.0,977.49076,16.4,76,3
ford pinto 1976,10.66,4,2294.18,72.0,1163.46348,13.6,76,1
volvo 245 1976,14.13,4,2130.31,102.0,1428.8147999999999,15.7,76,2
plymouth volare premier v8 1976,21.73,8,5211.07,150.0,1787.15248,13.2,76,1
peugeot 504 1976,14.87,4,1966.44,88.0,1483.24584,21.9,76,2
toyota mark ii 1976,14.87,6,2556.37,108.0,1329.02456,15.5,76,3
mercedes-benz 280s 1976,17.12,6,2753.02,120.0,1732.72144,16.7,76,2
cadillac seville 1976,17.12,8,5735.45,180.0,1986.73296,12.1,76,1
chevy c10 1976,21.73,8,5735.45,145.0,1839.31556,12.0,76,1
ford f108 1976,21.73,8,4948.87,130.0,1755.40104,15.0,76,1
dodge d100 1976,21.73,8,5211.07,150.0,1703.23796,14.0,76,1
honda accord cvcc 1977,8.97,4,1605.93,68.0,927.59564,18.5,77,3
buick opel isuzu deluxe 1977,9.42,4,1818.96,80.0,977.49076,14.8,77,1
renault 5 gtl 1977,7.85,4,1294.57,58.0,827.8054,18.6,77,2
plymouth arrow gs 1977,11.08,4,1999.21,96.0,1043.2616,15.5,77,1
datsun f-10 hatchback 1977,8.43,4,1392.9,70.0,882.23644,16.8,77,3
chevrolet caprice classic 1977,16.14,8,4998.04,145.0,1759.93696,12.5,77,1
oldsmobile cutlass supreme 1977,16.62,8,4260.62,110.0,1841.58352,19.0,77,1
dodge monaco brougham 1977,18.23,8,5211.07,145.0,1877.87088,13.7,77,1
mercury cougar brougham 1977,18.84,8,4948.87,130.0,1948.1776399999999,14.9,77,1
chevrolet concours 1977,16.14,6,4096.75,110.0,1596.64384,16.4,77,1
buick skylark 1977,13.78,6,3785.4,105.0,1553.5526,16.9,77,1
plymouth volare custom 1977,14.87,6,3687.08,100.0,1646.53896,17.7,77,1
ford granada 1977,15.27,6,4096.75,98.0,1598.9118,19.0,77,1
pontiac grand prix lj 1977,17.66,8,6554.8,180.0,1914.15824,11.1,77,1
chevrolet monte carlo landau 1977,18.23,8,5735.45,170.0,1889.21068,11.4,77,1
chrysler cordoba 1977,18.23,8,6554.8,190.0,1961.7854,12.2,77,1
ford thunderbird 1977,17.66,8,5751.84,149.0,1966.32132,14.5,77,1
volkswagen rabbit custom 1977,9.74,4,1589.54,78.0,879.96848,14.5,77,2
pontiac sunbird coupe 1977,11.53,4,2474.44,88.0,1242.84208,16.0,77,1
toyota corolla liftback 1977,10.87,4,1589.54,75.0,1027.38588,18.2,77,3
ford mustang ii 2+2 1977,11.08,4,2294.18,89.0,1249.64596,15.8,77,1
chevrolet chevette 1977,9.26,4,1605.93,63.0,930.317192,17.0,77,1
dodge colt m/m 1977,8.43,4,1605.93,83.0,941.2034,15.9,77,1
subaru dl 1977,9.42,4,1589.54,67.0,900.38012,16.4,77,3
volkswagen dasher 1977,9.26,4,1589.54,78.0,993.36648,14.1,77,2
datsun 810 1977,12.84,6,2392.5,97.0,1276.86148,14.5,77,3
bmw 320i 1977,13.14,4,1982.83,110.0,1179.3392,12.8,77,2
mazda rx-4 1977,13.14,3,1310.96,110.0,1233.77024,13.5,77,3
volkswagen rabbit custom diesel 1978,6.56,4,1474.83,48.0,900.38012,21.5,78,2
ford fiesta 1978,7.83,4,1605.93,66.0,816.4656,14.4,78,1
mazda glc deluxe 1978,8.61,4,1278.19,52.0,900.38012,19.4,78,3
datsun b210 gx 1978,7.17,4,1392.9,70.0,938.93544,18.6,78,3
honda civic cvcc 1978,7.83,4,1491.22,60.0,816.4656,16.4,78,3
oldsmobile cutlass salon brougham 1978,14.2,8,4260.62,110.0,1526.33708,15.5,78,1
dodge diplomat 1978,14.56,8,5211.07,140.0,1694.16612,13.2,78,1
mercury monarch ghia 1978,13.99,8,4948.87,139.0,1619.32344,12.8,78,1
pontiac phoenix lj 1978,14.72,6,3785.4,105.0,1603.44772,19.2,78,1
chevrolet malibu 1978,13.78,6,3277.4,95.0,1431.08276,18.2,78,1
ford fairmont (auto) 1978,13.99,6,3277.4,85.0,1344.90028,15.8,78,1
ford fairmont (man) 1978,11.26,4,2294.18,88.0,1233.77024,15.4,78,1
plymouth volare 1978,13.78,6,3687.08,100.0,1555.82056,17.2,78,1
amc concord 1978,14.56,6,3801.78,90.0,1456.03032,17.2,78,1
buick century special 1978,13.72,6,3785.4,105.0,1533.14096,15.8,78,1
mercury zephyr 1978,13.58,6,3277.4,85.0,1392.52744,16.7,78,1
dodge aspen 1978,15.19,6,3687.08,110.0,1642.00304,18.7,78,1
amc concord d/l 1978,15.61,6,4227.85,120.0,1546.74872,15.1,78,1
chevrolet monte carlo landau 1978,14.72,8,4998.04,145.0,1553.5526,13.2,78,1
buick regal sport coupe (turbo) 1978,15.96,6,3785.4,165.0,1562.62444,13.4,78,1
ford futura 1978,15.61,8,4948.87,139.0,1453.76236,11.2,78,1
dodge magnum xe 1978,16.14,8,5211.07,140.0,1850.65536,13.7,78,1
chevrolet chevette 1978,9.42,4,1605.93,68.0,977.49076,16.5,78,1
toyota corona 1978,10.27,4,2195.86,95.0,1161.19552,14.2,78,3
datsun 510 1978,10.39,4,1950.05,97.0,1043.2616,14.7,78,3
dodge omni 1978,9.14,4,1720.64,75.0,1011.51016,14.5,78,1
toyota celica gt liftback 1978,13.39,4,2195.86,95.0,1140.78388,14.8,78,3
plymouth sapporo 1978,12.18,4,2556.37,105.0,1245.11004,16.7,78,1
oldsmobile starfire sx 1978,11.87,4,2474.44,85.0,1295.00516,17.6,78,1
datsun 200-sx 1978,11.82,4,1950.05,97.0,1090.88876,14.9,78,3
audi 5000 1978,13.92,5,2146.7,103.0,1283.66536,15.9,78,2
volvo 264gl 1978,16.62,6,2671.08,125.0,1424.27888,13.6,78,2
saab 99gle 1978,13.08,4,1982.83,115.0,1267.78964,15.7,78,2
peugeot 604sl 1978,17.44,6,2671.08,133.0,1546.74872,15.8,78,2
volkswagen scirocco 1978,8.97,4,1458.44,71.0,902.6480799999999,14.9,78,2
honda accord lx 1978,9.58,4,1605.93,68.0,968.41892,16.6,78,3
pontiac lemans v6 1979,13.14,6,3785.4,115.0,1471.90604,15.4,79,1
mercury zephyr 6 1979,14.27,6,3277.4,85.0,1356.24008,18.2,79,1
ford fairmont 4 1979,12.67,4,2294.18,88.0,1310.88088,17.3,79,1
amc concord dl 6 1979,13.99,6,3801.78,90.0,1480.97788,18.2,79,1
dodge aspen 6 1979,13.72,6,3687.08,110.0,1524.0691199999999,16.6,79,1
chevrolet caprice classic 1979,16.62,8,4998.04,130.0,1741.7932799999999,15.4,79,1
ford ltd landau 1979,16.05,8,4948.87,129.0,1689.6302,13.4,79,1
mercury grand marquis 1979,17.12,8,5751.84,138.0,1793.95636,13.2,79,1
dodge st. regis 1979,15.52,8,5211.07,135.0,1737.25736,15.2,79,1
buick estate wagon (sw) 1979,16.72,8,5735.45,155.0,1977.66112,14.9,79,1
ford country squire (sw) 1979,18.23,8,5751.84,142.0,1838.861968,14.3,79,1
chevrolet malibu classic (sw) 1979,14.72,8,4375.33,125.0,1635.19916,15.0,79,1
chrysler lebaron town @ country (sw) 1979,15.27,8,5899.32,150.0,1787.15248,13.0,79,1
vw rabbit custom 1979,8.86,4,1458.44,71.0,873.1646,14.0,79,2
maxda glc deluxe 1979,8.29,4,1409.28,65.0,895.8442,15.2,79,3
dodge colt hatchback custom 1979,7.91,4,1605.93,80.0,868.62868,14.4,79,1
amc spirit dl 1979,10.31,4,1982.83,80.0,1211.09064,15.0,79,1
mercedes benz 300d 1979,11.12,5,2998.82,77.0,1601.17976,20.1,79,2
cadillac eldorado 1979,12.28,8,5735.45,125.0,1769.0088,17.4,79,1
peugeot 504 1979,10.39,4,2310.57,71.0,1446.95848,24.8,79,2
oldsmobile cutlass salon brougham 1979,11.82,8,4260.62,90.0,1551.28464,22.2,79,1
plymouth horizon 1979,8.26,4,1720.64,70.0,997.9024,13.2,79,1
plymouth horizon tc3 1979,8.19,4,1720.64,70.0,975.2228,14.9,79,1
datsun 210 1979,8.88,4,1392.9,65.0,916.25584,19.2,79,3
fiat strada custom 1979,7.57,4,1491.22,69.0,966.1509599999999,14.7,79,2
buick skylark limited 1979,9.95,4,2474.44,90.0,1211.09064,16.0,79,1
chevrolet citation 1979,9.81,6,2834.95,115.0,1177.07124,11.3,79,1
oldsmobile omega brougham 1979,10.54,6,2834.95,115.0,1224.6984,12.9,79,1
pontiac phoenix 1979,8.43,4,2474.44,90.0,1159.381152,13.2,79,1
vw rabbit 1980,6.81,4,1605.93,76.0,972.501248,14.7,80,2
toyota corolla tercel 1980,7.42,4,1458.44,60.0,892.669056,18.8,80,3
chevrolet chevette 1980,8.8,4,1605.93,70.0,961.61504,15.5,80,1
datsun 310 1980,7.6,4,1409.28,65.0,915.802248,16.4,80,3
chevrolet citation 1980,10.09,4,2474.44,90.0,1214.719376,16.5,80,1
ford fairmont 1980,10.7,4,2294.18,88.0,1301.80904,18.1,80,1
amc concord 1980,11.63,4,2474.44,90.0,1362.136776,20.1,80,1
dodge aspen 1980,14.79,6,3687.08,90.0,1533.594552,18.7,80,1
audi 4000 1980,8.24,4,1589.54,78.0,992.459296,15.8,80,2
toyota corona liftback 1980,9.48,4,2195.86,90.0,1229.687912,15.5,80,3
mazda 626 1980,9.03,4,1966.44,75.0,1153.030864,17.5,80,3
datsun 510 hatchback 1980,7.64,4,1950.05,92.0,1104.042928,15.0,80,3
toyota corolla 1980,8.77,4,1769.8,75.0,1027.38588,15.2,80,3
mazda glc 1980,6.06,4,1409.28,65.0,957.07912,17.9,80,3
dodge colt 1980,10.13,4,2556.37,105.0,1270.0576,14.4,80,1
datsun 210 1980,6.92,4,1392.9,65.0,957.07912,19.2,80,3
vw rabbit c (diesel) 1980,6.38,4,1474.83,48.0,945.73932,21.7,80,2
vw dasher (diesel) 1980,6.51,4,1474.83,48.0,1059.13732,23.7,80,2
audi 5000s (diesel) 1980,7.76,5,1982.83,67.0,1338.0964,19.9,80,2
mercedes-benz 240d 1980,9.42,4,2392.5,67.0,1474.174,21.8,80,2
honda civic 1500 gl 1980,6.33,4,1491.22,67.0,839.1452,13.8,80,3
renault lecar deluxe 1980,6.91,4,1392.9,50.0,832.34132,17.3,80,2
subaru dl 1980,8.36,4,1589.54,67.0,972.95484,18.0,80,3
vokswagen rabbit 1980,9.48,4,1458.44,62.0,836.87724,15.3,80,2
datsun 280-zx 1980,8.64,6,2753.02,132.0,1319.95272,11.4,80,3
mazda rx-7 gs 1980,11.92,3,1147.09,100.0,1097.69264,12.5,80,3
triumph tr7 coupe 1980,8.07,4,1999.21,88.0,1133.98,15.1,80,2
ford mustang cobra 1980,11.97,4,2294.18,118.0,1317.68476,14.3,80,1
honda accord 1980,8.72,4,1753.41,72.0,1038.72568,17.0,80,3
pymouth reliant 1981 h,10.39,4,2212.24,84.0,1129.44408,15.7,81,1
buick skylark 1981,10.62,4,2474.44,84.0,1195.21492,16.4,81,1
dodge aries wagon (sw) 1981,10.95,4,2556.37,92.0,1188.41104,14.4,81,1
chevrolet citation 1981,12.02,6,2834.95,110.0,1236.0382,12.6,81,1
